Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Threshold,Baseline Start,Baseline End,Curve Quality,Result Quality Issues
A1,false,Control,atpE,Unknown,VIC-NFQ-MGB,30.460746072777916,0.7966198234465461,2.444276431224279,Inconclusive,false,12001.386435101394,19,24,,
A2,false,Control,atpE,Unknown,VIC-NFQ-MGB,31.394983311556985,0.7601055100317852,2.346483395346674,Inconclusive,false,12001.386435101394,16,26,,
A3,false,Control,atpE,Unknown,VIC-NFQ-MGB,30.887329805333167,0.8021363180891613,2.398637125435527,Inconclusive,false,12001.386435101394,19,26,,
A4,false,TL_sput,atpE,Unknown,VIC-NFQ-MGB,29.7706251808917,0.49425862271603643,2.3663352546129515,Amp,false,12001.386435101394,16,25,,
A5,false,TL_sput,atpE,Unknown,VIC-NFQ-MGB,30.08504404645284,0.594343091304706,2.2491424049382522,Amp,false,12001.386435101394,19,24,,
A6,false,TL_sput,atpE,Unknown,VIC-NFQ-MGB,29.76536644803926,0.5804018531576024,2.347621232044683,Amp,false,12001.386435101394,16,24,,
B1,false,Control,atpE,Unknown,VIC-NFQ-MGB,30.94053309021008,0.7323154621252951,2.403285363396972,Inconclusive,false,12001.386435101394,19,26,,
B2,false,Control,atpE,Unknown,VIC-NFQ-MGB,30.9434222338081,0.7105360896909805,2.397828094721829,Inconclusive,false,12001.386435101394,19,26,,
B3,false,Control,atpE,Unknown,VIC-NFQ-MGB,30.572450299639563,0.7869606962007131,2.4276181362167715,Inconclusive,false,12001.386435101394,16,26,,
B4,false,TL_sput,atpE,Unknown,VIC-NFQ-MGB,30.071933469975466,0.5440805172983764,2.337804617559249,Amp,false,12001.386435101394,15,25,,
B5,false,TL_sput,atpE,Unknown,VIC-NFQ-MGB,30.188690005512107,0.5652876359274418,2.3296052313393125,Amp,false,12001.386435101394,15,25,,
B6,false,TL_sput,atpE,Unknown,VIC-NFQ-MGB,30.261535950012117,0.6374462874641451,2.3228290106790426,Amp,false,12001.386435101394,18,25,,
C1,false,BB,atpE,Unknown,VIC-NFQ-MGB,24.254808302253487,0.9159614210322699,2.6949228719183846,Amp,false,12001.386435101394,9,20,,
C2,false,BB,atpE,Unknown,VIC-NFQ-MGB,24.853471828215206,0.9099592737732708,2.6863338793353306,Amp,false,12001.386435101394,10,21,,
C3,false,BB,atpE,Unknown,VIC-NFQ-MGB,25.43061824311303,0.9209195811232327,2.667961394096914,Amp,false,12001.386435101394,11,21,,
C4,false,NTC,atpE,Negative Control (NTC),VIC-NFQ-MGB,Undetermined,0,,No Amp,false,12001.386435101394,3,34,,
C5,false,NTC,atpE,Negative Control (NTC),VIC-NFQ-MGB,Undetermined,0,1.9233999443322811,No Amp,false,12001.386435101394,18,28,,
C6,false,NTC,atpE,Negative Control (NTC),VIC-NFQ-MGB,34.505075420596285,0,1.974387134505972,No Amp,false,12001.386435101394,20,28,,
D1,false,BB,atpE,Unknown,VIC-NFQ-MGB,23.90681334881036,0.9105080555667939,2.681844087249391,Amp,false,12001.386435101394,9,19,,
D2,false,BB,atpE,Unknown,VIC-NFQ-MGB,23.902356504191395,0.9204017752962501,2.682527409966062,Amp,false,12001.386435101394,9,19,,
D3,false,BB,atpE,Unknown,VIC-NFQ-MGB,24.189516186220736,0.9305902553091535,2.6594225133276757,Amp,false,12001.386435101394,9,19,,
E1,true,BB_sput,atpE,Unknown,VIC-NFQ-MGB,Undetermined,Undetermined,,N/A,false,Undetermined,0,0,,
E2,false,BB_sput,atpE,Unknown,VIC-NFQ-MGB,29.234658857109928,0.5394053961395162,2.3124825701271807,Amp,false,12001.386435101394,19,24,,
E3,false,BB_sput,atpE,Unknown,VIC-NFQ-MGB,29.257517223546934,0.589541853915834,2.28732764922842,Amp,false,12001.386435101394,19,24,,
F1,false,BB_sput,atpE,Unknown,VIC-NFQ-MGB,29.969221379950405,0.5466594118947242,2.3075981910930943,Amp,false,12001.386435101394,17,26,,
F2,false,BB_sput,atpE,Unknown,VIC-NFQ-MGB,29.98461776440986,0.47141520331484715,2.306605660209856,Amp,false,12001.386435101394,19,26,,
F3,false,BB_sput,atpE,Unknown,VIC-NFQ-MGB,30.005557524664972,0.5295995469984291,2.2862167834775806,Amp,false,12001.386435101394,19,24,,
G1,false,TL,atpE,Unknown,VIC-NFQ-MGB,23.57122802895381,0.9104001842806491,2.6863533556046293,Amp,false,12001.386435101394,9,19,,
G2,false,TL,atpE,Unknown,VIC-NFQ-MGB,23.478904769448924,0.9173643482588931,2.682451067376209,Amp,false,12001.386435101394,13,19,,
G3,false,TL,atpE,Unknown,VIC-NFQ-MGB,23.673306342147164,0.9268915316856239,2.6572578535575673,Amp,false,12001.386435101394,9,18,,
H1,false,TL,atpE,Unknown,VIC-NFQ-MGB,23.82311421763223,0.9103282342404638,2.6728804897084206,Amp,false,12001.386435101394,11,19,,
H2,false,TL,atpE,Unknown,VIC-NFQ-MGB,23.842480911464726,0.9216824959560925,2.6842115808868114,Amp,false,12001.386435101394,13,19,,
H3,false,TL,atpE,Unknown,VIC-NFQ-MGB,24.061975003338816,0.9317684648315961,2.684281150104902,Amp,false,12001.386435101394,8,19,,
